"Symbol","Description","Market Cap","Dividend Yield","Gross Expense Ratio","Fund Category"
"ABR","ARBOR REALTY TRUST INC","1.83B",8.1784,"--","--"
"AGG","ISHARES CORE U S AGGREGATE BD ETF","86.59B",2.0537,0.04,"Intermediate Core Bond"
"AGNC","AGNC INVESTMENT CORP COMMON STOCK","9.38B",8.3141,"--","--"
"AMBA","AMBARELLA INC SHS","3.47B",0,"--","--"
"AMD","ADVANCED MICRO DEVICES INC COM","98.85B",0,"--","--"
"AMT","AMERICAN TOWER CORPORATION REIT","112.06B",1.963,"--","--"
"APTV","APTIV PLC SHS","37.58B",0,"--","--"
"ARKF","ARK ETF TRUST ARK FINTECH INNOVATION ETF","4.23B",0,0.75,"--"
"ARKG","ARK ETF TRUST ARK GENOMIC REVOLUTION ETF","9.63B",0,"--","--"
"ARKK","ARK ETF TRUST ARK INNOVATION ETF","24.10B",0,0.75,"--"
"ARKQ","ARK ETF TR AUTONOMOUS TECHNOLOGY & ROBOTICS ETF","3.37B",0,"--","--"
"ARKW","ARK ETF TR NEXT GENERATION INTERNET ETF","6.80B",0,0.79,"--"
"BA","BOEING CO COM","137.54B",0,"--","--"
"BABA","ALIBABA GROUP HLDG LTD SPONSORED ADS","565.57B",0,"--","--"
"BB","BLACKBERRY LTD COM","4.90B",0,"--","--"
"BBIO","BRIDGEBIO PHARMA INC COM","8.24B",0,"--","--"
"BLV","VANGUARD LONG TERM BOND ETF","5.21B",3.4529,0.05,"Long-Term Bond"
"BND","VANGUARD TOTAL BOND MARKET ETF","73.09B",2.1281,0.04,"Intermediate Core Bond"
"BNDX","VANGUARD TOTAL INTERNATIONAL BOND ETF","40.66B",0.9641,0.08,"World Bond-USD Hedged"
"BYND","BEYOND MEAT INC COM","8.43B",0,"--","--"
"CCI","CROWN CASTLE INTERNATIONAL CORP","78.88B",2.9071,"--","--"
"CGEN","COMPUGEN LTD ORD","577.35M",0,"--","--"
"CNDT","CONDUENT INC COM","1.43B",0,"--","--"
"CRM","SALESFORCE COM INC COM","212.35B",0,"--","--"
"CRSP","CRISPR THERAPEUTICS AG NAMEN AKT","9.42B",0,"--","--"
"CRWD","CROWDSTRIKE HLDGS INC CL A","41.07B",0,"--","--"
"CSCO","CISCO SYS INC COM","219.24B",2.8577,"--","--"
"CXSE","WISDOMTREE CHINA EX-STATE-OWNED ENTERPRISES FUND","965.55M",0.549,0.32,"--"
"DAL","DELTA AIR LINES INC DEL COM NEW","29.23B",0,"--","--"
"DBX","DROPBOX INC CL A","8.56B",0,"--","--"
"DEM","WISDOMTREE TRUST EMERGING MARKETS HIGH DIVIDEND FUND","1.96B",4.1637,0.63,"--"
"DFS","DISCOVER FINL SVCS COM","30.18B",1.8182,"--","--"
